model,name,price,quantity,status
136353,"Ηχοσύστημα Αυτοκινήτου Pioneer FH-X730BT",190,0,0
136454,"Sony ICF-506 – Ραδιόφωνο Μαύρο",49,3,1
136604,"Ηχοσύστημα Αυτοκινήτου Felix FX-303",45,0,0
136791,"Ψηφιακή Κορνίζα F&U FDF7421 7''",89,0,0
136814,"Muse M-051 R – Ραδιόφωνο Μαύρο",26.9,0,0
136815,"Muse M-051RW – Ραδιόφωνο Λευκό",26.9,0,0
136816,"Ραδιόφωνο Muse M-062 NY",25.9,0,0
136922,"Muse M-081 R – Επιτραπέζιο Ραδιόφωνο Ρεύματος Μπαταρίας",31.9,3,1
136936,"Ηχοσύστημα Αυτοκινήτου Akai CA014A-6246U",35,0,0
136971,"Ράδιο CD Trevi CMP-574 Μπλε",99,0,0
137019,"Action Camera GOXTREME 4K with Remote Control GoXtreme Enduro - Black",59,0,0
137135,"OEM HD3001 – Τηλεχειριστήριο για NOVA τον PACE (LOR 183)",15,0,0
137168,"Ραδιοενισχυτής Marantz NR1608 Μαύρο",799,0,0
137169,"Ραδιοενισχυτής Marantz SR5012 Μαύρο",899,0,0
137201,"Sony  HT-SF150 – Soundbar",94,0,0
137225,"Ηχοσύστημα Αυτοκινήτου Trevi SCD 5725 BT",49,0,0
137238,"Φορητό Ραδιόφωνο - Ηχοσύστημα Trevi CMP544BT Bluetooth Μπλε",69,0,0
137240,"Muse M-178P – Ψηφιακό Ρολόι Επιτραπέζιο με Ξυπνητήρι",35,0,0
137576,"Φωτογραφική Μηχανή Panasonic DC-GX800K Ασημί",449,0,0
137577,"Φωτογραφική Μηχανή Panasonic DC-GX800K Καφέ",449,0,0
137598,"Ράδιο CD F&U RCD9039MU",44.9,0,0
137652,"Crystal Audio CASB240 – Soundbar",119,0,0
137762,"Ηχοσύστημα Αυτοκινήτου Pioneer SPH-10BT",119,0,0
137763,"Ηχοσύστημα Αυτοκινήτου Pioneer DEH-S111UB",79,0,0
137826,"Sony CDXG1300U – Ηχοσύστημα αυτοκινήτου",89.9,0,0
137843,"Ηχοσύστημα Αυτοκινήτου Pioneer DEH-S310BT Κόκκινο",99,0,0
137855,"Soundbar Yamaha MusicCast Bar 400",669,0,0
137866,"Ραδιόφωνο Akai AWBR-305 Λευκό",24,0,0
137885,"Πικαπ Roadstar HIF-1993BT",219,0,0
137887,"Nikon D5600 – Φωτογραφική Μηχανή + AF - S 18 140 VR",799,0,0
137935,"Xiaomi Mi Box S 4K TV Media Player",89,0,0
137979,"Ηχοσύστημα Αυτοκινήτου JVC KD-X162",59,0,0
137980,"Ηχοσύστημα Αυτοκινήτου JVC KD-X262",75,0,0
137982,"Ηχοσύστημα Αυτοκινήτου JVC KD-X352BT",115,0,0
137986,"Ηχοσύστημα Αυτοκινήτου JVC KD-R494",79,0,0
137987,"Ηχοσύστημα Αυτοκινήτου JVC KD-R571",99,0,0
137988,"Ηχοσύστημα Αυτοκινήτου JVC KD-R794BT",119,0,0
138056,"Ηχοσύστημα Αυτοκινήτου Sony SXA210UI",69,0,0
138140,"Ραδιόφωνο CD-Player Muse M-28LG Μπαταρίας & Ρεύματος Ψηφιακό",69.9,0,0
138185,"Ηχοσύστημα Αυτοκινήτου Osio ACO-4369UR",24.9,0,0
138218,"Φορητό Ρετρό Ραδιόφωνο Akai Apr-11 Κόκκινο",36.9,0,0
138226,"Φωτογραφική Μηχανή Nikon D5300 AF-P 18-55VR + AF-P 70-300VR Μαύρη",699,0,0
138243,"Επίγειος Ψηφιακός Δέκτης Osio OST-2655D",25,0,0
138244,"Επίγειος Ψηφιακός Δέκτης Osio OST-2660D",29,0,0
138375,"Soundbar Sony HTS350",269,0,0
138383,"Φωτογραφική Μηχανή Sony ILCE7KB Μαύρη",829,0,0
138431,"Muse Di-30N – Κεραία Εσωτερική Greentek",24,0,0
138464,"F&U MPF3473HU – Επίγειος Ψηφιακός Δέκτης Τηλεόρασης",25,4,1
138535,"Ψηφιακό Ρολόι Και Ραδιόφωνο Επιτραπέζιο με Ξυπνητήρι Telco E0325",15,0,0
138573,"Ράδιο CD F&U RCD9043BT",55.9,0,0
138617,"Panasonic RF-2400DEG K – Ραδιόφωνο Μαύρο",39,0,0
138618,"Panasonic RF-P150DEG S – Ραδιόφωνο",25,0,0
138644,"Greentek UVR-AV553 – Κεραία Εσωτερική UVR",23,0,0
138647,"Soundbar Crystal Audio CASB320",139,0,0
138655,"Ηχοσύστημα Αυτοκινήτου Sony MEX-N4300BT",159,0,0
138658,"Ηχοσύστημα Mini Crystal Audio 3D HIFI360W",129,0,0
138674,"Ηχοσύστημα Αυτοκινήτου Osio ACO-4525UBT",29,0,0
138729,"Ηχοσύστημα Αυτοκινήτου Osio ACO-4520UBT",29,0,0
138771,"Akai ABTS-50 – Φορητό Ηχείο",59.9,1,1
138780,"LG CL65 – Ηχοσύστημα Mini",249,0,0
138786,"Φωτογραφική Μηχανή Sony ILCE6400B Μαύρη",1069,0,0
138807,"Soundbar Yamaha YAS-107",229,0,0
138832,"Ραδιοενισχυτής Denon AVR-X2600H Μαύρο",699,0,0
138870,"Ηχοσύστημα Αυτοκινήτου JVC KW-R930BT",169,0,0
138927,"Επίγειος Ψηφιακός Δέκτης Osio OST-2670D",31,0,0
139006,"Trevi SL 3048 – Ρολόι Ξυπνητήρι Μix",10,15,1
139036,"Φωτογραφική Μηχανή Sony ILCE7M3B",1899,0,0
139045,"Ηχοσύστημα Αυτοκινήτου Sony DSXA410BT",109,0,0
139051,"Φωτογραφική Μηχανή Sony ILCE6400LB",1199,0,0
139053,"Soundbar Sony HT-S20R",249,1,1
139089,"Trevi SCD 5702 – Car audio MP3 USB",49,0,0
139090,"Ηχείο Με Ραδιόφωνο Trevi XR120 Μαύρο",39,0,0
139106,"Ηχοσύστημα Αυτοκινήτου Akai CA015A-4108S",79,0,0
139158,"Sony HTG700 – Soundbar",449,1,1
139209,"Ηχοσύστημα Αυτοκινήτου Osio ACO-6600",60,0,0
139232,"Ηχοσύστημα Αυτοκινήτου Sony DSXA212UI",69,0,0
139254,"Ηχοσύστημα Αυτοκινήτου Osio ACO-7700",99.9,0,0
139308,"Φορητό Ηχείο Sony SRSXB23L Μπλε",78,0,0
139330,"Panasonic SC-PM250EG-K – Ηχοσύστημα Mini SC",99,0,0
139341,"Ηχοσύστημα Αυτοκινήτου Pioneer MVH-S520BT",149,0,0
139597,"Sony MHCV13 – Ηχοσύστημα",247,0,0
139606,"Muse M-025R – Ραδιόφωνο Αναλογικό Γκρι",22,3,1
139836,"Φορητό Bluetooth Ηχείο Sony SRSXB13C Μπεζ",39,0,0
139837,"Sony SRS-XB13 – Φορητό Bluetooth Ηχείο Μπλε",39,0,0
139879,"TV Sony LED 4K UHD KE-65XH9096 HDR 65''",1190,0,0
139896,"Φορητό Ηχείο Sony SRSXG500B Black",289,0,0
139898,"Φορητό Ηχείο Sony SRS XP700B",389,0,0
139920,"Φορητό Bluetooth Ηχείο Sony SRSXB13P Ροζ-Πορτοκαλί",39,0,0
